Time,Velocity,Displacement
0.0,0.0007127339208686141,3.5636696043430705e-06
0.005,0.015836838879327624,8.274786400098119e-05
0.01,0.029049674407402772,0.00022799623603799506
0.015,0.03149199395166158,0.0003854562057963029
0.02,0.031797552954911545,0.0005444439705708606
0.025,0.030015438504002498,0.0006945211630908732
0.03,0.027131287534873216,0.0008301776007652392
0.035,0.02353333714648174,0.0009478442864976479
0.04,0.02135893282120921,0.001054638950603694
0.045,0.019958139184020198,0.001154429646523795
0.05,0.01945089233697873,0.0012516841082086886
0.055,0.020284538149672775,0.0013531067989570524
0.06,0.021878478779009912,0.001462499192852102
0.065,0.024257431890820712,0.0015837863523062055
0.07,0.027509724534198234,0.0017213349749771968
0.075,0.030409237652955143,0.0018733811632419726
0.08,0.032112822595205905,0.002033945276218002
0.085,0.032050116762603255,0.0021941958600310185
0.09,0.030234235246591995,0.0023453670362639785
0.095,0.02718916107453233,0.00248131284163664
0.1,0.023681474224244485,0.0025997202127578624
0.105,0.019982332992868494,0.0026996318777222045
0.11,0.01679840333198714,0.0027836238943821402
0.115,0.014004309573414373,0.002853645442249212
0.12,0.011746213145233882,0.002912376507975381
0.125,0.010327565657305962,0.0029640143362619107
0.13,0.009680628700505532,0.0030124174797644386
0.135,0.009441716311001746,0.0030596260613194475
0.14,0.009772051735285964,0.003108486319995877
0.145,0.010820895823772917,0.0031625907991147417
0.15,0.012334433346684113,0.0032242629658481626
0.155,0.01405012634664334,0.0032945135975813796
0.16,0.016008654795647934,0.003374556871559619
0.165,0.01717864950074397,0.003460450119063339
0.17,0.01753435233202865,0.003548121880723482
0.175,0.0174032230940305,0.0036351379961936346
0.18,0.017855638207614793,0.003724416187231709
0.185,0.018593495463020266,0.00381738366454681
0.19,0.02036728144207391,0.003919220071757179
0.195,0.02307965841969466,0.0040346183638556524
0.2,0.02612147322821906,0.004165225729996748
0.205,0.029003880904688615,0.004310245134520191
0.21,0.027921397215356965,0.004449852120596976
0.215,0.021755217441790053,0.004558628207805926
0.22,0.012735148064617636,0.004622303948129014
0.225,0.00416338590808509,0.0046431208776694394
0.23,-0.001745492280839992,0.00463439341626524
0.235,-0.006407592993175141,0.004602355451299364
0.24,-0.015711395341426414,0.004523798474592232
0.245,-0.05042177233101209,0.004271689612937171
0.25,-0.09995261111514535,0.003771926557361445
0.255,-0.09995261111514535,0.0032721635017857183
0.26,-0.02865455549588253,0.003128890724306305
0.265,-0.012397613634595957,0.003066902656133326
0.27,-0.00668792927803779,0.003033463009743137
0.275,-0.0038975503042744325,0.003013975258221765
0.28,-0.002571183229691797,0.0030011193420733063
0.285,-0.002454528662830301,0.002988846698759155
0.29,-0.003114356864296646,0.002973274914437672
0.295,-0.005050229658173107,0.0029480237661468063
0.3,-0.007347793308027754,0.0029112847996066674
0.305,-0.01042199119220887,0.0028591748436456233
0.31,-0.014014272974484742,0.0027891034787731993
0.315,-0.01730791646996942,0.002702563896423352
0.32,-0.01955032731196378,0.0026048122598635332
0.325,-0.02088593921871226,0.002500382563769972
0.33,-0.02049454422163176,0.002397909842661813
0.335,-0.018650623436613216,0.002304656725478747
0.34,-0.015184282438441369,0.00222873531328654
0.345,-0.010736895361381194,0.002175050836479634
0.35,-0.00475497464097101,0.0021512759632747788
0.355,0.0018034207723287919,0.002160293067136423
0.36,0.010136932917631614,0.002210977731724581
0.365,0.01875761975387773,0.00230476583049397
0.37,0.02624912493452319,0.0024360114551665855
0.375,0.03168823037836839,0.002594452607058428
0.38,0.03207352653673705,0.0027548202397421127
0.385,0.02731653584163724,0.0028914029189502995
0.39,0.020614308187542642,0.0029944744598880122
0.395,0.013778065574287424,0.0030633647877594495
0.4,0.00841390458399181,0.0031054343106794086
0.405,0.0042904057666525155,0.003126886339512671
0.41,0.001272583597060318,0.0031332492574979724
0.415,-0.001474560701227343,0.003125876453991836
0.42,-0.004503515434496089,0.0031033588768193555
0.425,-0.00853894558112134,0.003060664148913749
0.43,-0.016405855839837103,0.0029786348697145634
0.435,-0.04643272646533776,0.002746471237387874
0.44,-0.09995261111514535,0.0022467081818121474
0.445,-0.09995261111514535,0.0017469451262364206
0.45,-0.02485507522957637,0.0016226697500885388
0.455,-0.011080286610059829,0.0015672683170382395
0.46,-0.006519351244733193,0.0015346715608145736
0.465,-0.004758452815104746,0.00151087929673905
0.47,-0.0031726338966726886,0.0014950161272556867
0.475,-0.002580099875777299,0.0014821156278768002
0.48,-0.001858455023938699,0.0014728233527571066
0.485,-0.0014749827177305197,0.001465448439168454
0.49,-0.001277533890407553,0.0014590607697164163
0.495,-0.0008755553430761746,0.0014546829930010355
0.5,-0.0007521100950577037,0.0014509224425257468
0.505,-0.0011641198881981662,0.0014451018430847562
0.51,-0.0022351389632637316,0.0014339261482684375
0.515,-0.004144953416592638,0.0014132013811854742
0.52,-0.006521064903326432,0.0013805960566688421
0.525,-0.00907208581884063,0.0013352356275746391
0.53,-0.011807988865059096,0.0012761956832493438
0.535,-0.014306415399879148,0.001204663606249948
0.54,-0.016072289996701683,0.0011243021562664397
0.545,-0.01713117233621117,0.0010386462945853837
0.55,-0.0174187759545199,0.0009515524148127842
0.555,-0.017200334275619504,0.0008655507434346866
0.56,-0.01638605171026507,0.0007836204848833613
0.565,-0.015457008476063572,0.0007063354425030434
0.57,-0.014014611730550948,0.0006362623838502888
0.575,-0.013006911444948475,0.0005712278266255463
0.58,-0.011762292987400495,0.0005124163616885438
0.585,-0.010687518450228334,0.00045897876943740216
0.59,-0.009487782965248291,0.00041153985461116064
