Idata,Qdata,Šp“xdata
38803         ,             26701         ,             24173
40483         ,             26348         ,             23140
42085         ,             26040         ,             22223
43599         ,             25772         ,             21412
45035         ,             25519         ,             20677
46383         ,             25238         ,             19986
47651         ,             24927         ,             19330
48847         ,             24572         ,             18693
49963         ,             24159         ,             18064
51009         ,             23686         ,             17435
51985         ,             23159         ,             16809
52901         ,             22577         ,             16178
53756         ,             21975         ,             15564
54546         ,             21322         ,             14945
55286         ,             20650         ,             14337
55974         ,             19978         ,             13750
56614         ,             19318         ,             13189
57210         ,             18675         ,             12655
57763         ,             18071         ,             12161
58276         ,             17496         ,             11698
58751         ,             16972         ,             11279
59193         ,             16484         ,             10893
59602         ,             16049         ,             10549
59979         ,             15627         ,             10222
60332         ,             15244         ,             9926
60653         ,             14860         ,             9636
60952         ,             14489         ,             9360
61235         ,             14130         ,             9096
61490         ,             13754         ,             8826
61723         ,             13351         ,             8544
61943         ,             12945         ,             8263
62157         ,             12517         ,             7970
62339         ,             12100         ,             7689
62511         ,             11661         ,             7397
62671         ,             11241         ,             7118
62818         ,             10818         ,             6840
62954         ,             10436         ,             6589
63083         ,             10105         ,             6370
63201         ,             9809          ,             6175
63309         ,             9578          ,             6022
63411         ,             9409          ,             5908
63499         ,             9293          ,             5828
63574         ,             9238          ,             5787
63595         ,             9241          ,             5787
63525         ,             9293          ,             5826
63352         ,             9377          ,             5894
63080         ,             9481          ,             5983
62728         ,             9604          ,             6093
62332         ,             9726          ,             6208
61908         ,             9838          ,             6321
61476         ,             9939          ,             6429
61060         ,             10007         ,             6515
60666         ,             10052         ,             6586
60321         ,             10050         ,             6621
60020         ,             9995          ,             6618
59784         ,             9883          ,             6571
59624         ,             9709          ,             6474
59555         ,             9457          ,             6316
59582         ,             9171          ,             6125
59713         ,             8867          ,             5912
59935         ,             8559          ,             5689
60232         ,             8245          ,             5456
60549         ,             7952          ,             5237
60869         ,             7657          ,             5019
61178         ,             7352          ,             4797
61475         ,             7058          ,             4585
61738         ,             6777          ,             4385
61988         ,             6502          ,             4192
62224         ,             6229          ,             4002
62442         ,             5996          ,             3840
62634         ,             5745          ,             3668
62813         ,             5513          ,             3511
62968         ,             5286          ,             3359
63122         ,             5072          ,             3216
63251         ,             4863          ,             3078
63376         ,             4656          ,             2941
63483         ,             4469          ,             2819
63577         ,             4289          ,             2702
63668         ,             4101          ,             2580
63737         ,             3954          ,             2485
63809         ,             3796          ,             2383
63876         ,             3641          ,             2284
63936         ,             3502          ,             2195
63985         ,             3354          ,             2100
64043         ,             3218          ,             2014
64083         ,             3090          ,             1932
64126         ,             2982          ,             1864
64157         ,             2860          ,             1787
64110         ,             2753          ,             1721
63886         ,             2640          ,             1656
63409         ,             2544          ,             1608
62630         ,             2444          ,             1564
61530         ,             2348          ,             1530
60110         ,             2258          ,             1506
58382         ,             2164          ,             1486
56369         ,             2089          ,             1486
54108         ,             2030          ,             1504
51635         ,             1959          ,             1521
49023         ,             1881          ,             1538
46378         ,             1812          ,             1566
43791         ,             1750          ,             1602
41306         ,             1688          ,             1638
38950         ,             1620          ,             1667
36729         ,             1570          ,             1713
34647         ,             1523          ,             1762
32706         ,             1459          ,             1788
30880         ,             1416          ,             1838
29180         ,             1363          ,             1872
27597         ,             1309          ,             1901
26115         ,             1280          ,             1964
24731         ,             1238          ,             2006
23439         ,             1203          ,             2057
22232         ,             1170          ,             2109
21098         ,             1169          ,             2220
20037         ,             1258          ,             2515
19038         ,             1481          ,             3114
18104         ,             1877          ,             4143
17221         ,             2467          ,             5707
16388         ,             3275          ,             7911
15609         ,             4288          ,             10753
14861         ,             5523          ,             14271
14169         ,             6963          ,             18319
13512         ,             8614          ,             22762
12905         ,             10456         ,             27311
12380         ,             12478         ,             31658
11967         ,             14627         ,             35498
11685         ,             16879         ,             38714
11545         ,             19150         ,             41241
11554         ,             21442         ,             43177
11713         ,             23695         ,             44587
12029         ,             25922         ,             45575
12419         ,             28104         ,             46312
12926         ,             30208         ,             46784
13499         ,             32249         ,             47101
14112         ,             34188         ,             47299
14736         ,             36062         ,             47442
15355         ,             37857         ,             47546
15945         ,             39532         ,             47624
16487         ,             41040         ,             47679
16972         ,             42325         ,             47705
17390         ,             43313         ,             47687
17734         ,             43999         ,             47634
18012         ,             44327         ,             47520
18229         ,             44324         ,             47351
18400         ,             43997         ,             47113
18536         ,             43333         ,             46789
18663         ,             42418         ,             46376
18796         ,             41254         ,             45854
18957         ,             39922         ,             45219
19160         ,             38430         ,             44450
19421         ,             36849         ,             43546
19744         ,             35191         ,             42494
20145         ,             33525         ,             41299
20613         ,             31894         ,             39988
21140         ,             30305         ,             38571
21694         ,             28795         ,             37104
22251         ,             27412         ,             35653
22782         ,             26171         ,             34272
23285         ,             25086         ,             32993
23776         ,             24177         ,             31835
24286         ,             23448         ,             30796
24846         ,             22905         ,             29871
25517         ,             22540         ,             29019
26348         ,             22366         ,             28229
27375         ,             22322         ,             27436
28620         ,             22391         ,             26627
30063         ,             22523         ,             25788
31664         ,             22687         ,             24935
33320         ,             22856         ,             24114
34930         ,             23012         ,             23364
36346         ,             23130         ,             22730
37414         ,             23252         ,             22302
38011         ,             23386         ,             22121
38052         ,             23575         ,             22246
37498         ,             23885         ,             22747
36432         ,             24356         ,             23635
35044         ,             25029         ,             24875
33484         ,             25945         ,             26439
31868         ,             27127         ,             28284
30251         ,             28579         ,             30360
28674         ,             30210         ,             32546
27160         ,             31970         ,             34755
25719         ,             33761         ,             36890
24357         ,             35566         ,             38917
23066         ,             37342         ,             40808
21855         ,             39054         ,             42538
20715         ,             40706         ,             44120
19642         ,             42267         ,             45553
18629         ,             43753         ,             46856
17680         ,             45122         ,             48022
16785         ,             46406         ,             49080
15941         ,             47606         ,             50041
15145         ,             48745         ,             50918
14397         ,             49814         ,             51716
13694         ,             50829         ,             52445
13025         ,             51758         ,             53112
12395         ,             52615         ,             53721
11802         ,             53319         ,             54263
11246         ,             53882         ,             54748
10731         ,             54214         ,             55163
10237         ,             54277         ,             55523
9775          ,             54055         ,             55825
9337          ,             53504         ,             56071
8921          ,             52635         ,             56266
8525          ,             51438         ,             56413
8152          ,             49969         ,             56514
7795          ,             48245         ,             56575
7465          ,             46334         ,             56593
7211          ,             44260         ,             56523
7102          ,             42094         ,             56296
7180          ,             39925         ,             55864
7497          ,             37795         ,             55146
8067          ,             35740         ,             54096
8874          ,             33784         ,             52698
9899          ,             31956         ,             50952
11107         ,             30211         ,             48870
12466         ,             28582         ,             46505
13934         ,             27037         ,             43914
15460         ,             25601         ,             41211
17000         ,             24261         ,             38486
18497         ,             23000         ,             35835
19905         ,             21817         ,             33337
21175         ,             20717         ,             31062
22267         ,             19711         ,             29061
23152         ,             18837         ,             27393
23823         ,             18125         ,             26085
24286         ,             17575         ,             25124
24548         ,             17222         ,             24536
24626         ,             17070         ,             24310
24567         ,             17116         ,             24406
24385         ,             17361         ,             24814
24128         ,             17782         ,             25473
23838         ,             18369         ,             26332
23561         ,             19048         ,             27268
23350         ,             19825         ,             28233
23246         ,             20629         ,             29111
23295         ,             21449         ,             29846
23541         ,             22207         ,             30331
24026         ,             22873         ,             30514
24764         ,             23442         ,             30400
25714         ,             23866         ,             30006
26910         ,             24162         ,             29344
28355         ,             24320         ,             28434
29973         ,             24355         ,             27367
31706         ,             24301         ,             26228
33483         ,             24170         ,             25077
35278         ,             24027         ,             23980
37047         ,             23897         ,             22977
38775         ,             23842         ,             22111
40437         ,             23912         ,             21418
42025         ,             24135         ,             20908
43530         ,             24558         ,             20601
44969         ,             25134         ,             20441
46318         ,             25929         ,             20468
47591         ,             26921         ,             20647
48784         ,             28152         ,             20992
49905         ,             29571         ,             21454
50949         ,             31161         ,             22015
51938         ,             32827         ,             22606
52856         ,             34579         ,             23235
53711         ,             36332         ,             23853
54509         ,             38045         ,             24439
55256         ,             39705         ,             24990
55944         ,             41295         ,             25503
56586         ,             42820         ,             25981
57187         ,             44259         ,             26416
57740         ,             45612         ,             26815
58257         ,             46896         ,             27183
58734         ,             48105         ,             27523
59177         ,             49229         ,             27830
59564         ,             50304         ,             28128
59829         ,             51293         ,             28425
59937         ,             52234         ,             28750
59868         ,             53116         ,             29106
59636         ,             53929         ,             29486
59271         ,             54689         ,             29888
58815         ,             55376         ,             30292
58289         ,             56035         ,             30709
57740         ,             56637         ,             31113
57189         ,             57211         ,             31508
56643         ,             57728         ,             31880
56106         ,             58217         ,             32241
55575         ,             58668         ,             32586
55044         ,             59095         ,             32923
54496         ,             59475         ,             33251
53911         ,             59844         ,             33590
53282         ,             60175         ,             33934
52607         ,             60481         ,             34288
51877         ,             60775         ,             34661
51097         ,             61052         ,             35051
50260         ,             61295         ,             35455
49387         ,             61471         ,             35855
48487         ,             61586         ,             36251
47571         ,             61609         ,             36629
46651         ,             61536         ,             36984
45741         ,             61408         ,             37323
44851         ,             61210         ,             37638
43988         ,             60960         ,             37930
43161         ,             60699         ,             38209
42376         ,             60431         ,             38473
41638         ,             60173         ,             38723
40950         ,             59923         ,             38957
40309         ,             59701         ,             39181
39721         ,             59505         ,             39393
39183         ,             59361         ,             39600
38701         ,             59240         ,             39791
38271         ,             59160         ,             39971
37898         ,             59127         ,             40139
37593         ,             59138         ,             40290
37359         ,             59206         ,             40424
37204         ,             59345         ,             40541
37137         ,             59532         ,             40630
37170         ,             59804         ,             40696
37309         ,             60108         ,             40721
37553         ,             60425         ,             40698
37894         ,             60730         ,             40626
38330         ,             61030         ,             40508
38841         ,             61314         ,             40353
39409         ,             61553         ,             40160
40014         ,             61780         ,             39949
40638         ,             61986         ,             39726
41255         ,             62170         ,             39503
41855         ,             62343         ,             39287
42417         ,             62489         ,             39082
42927         ,             62639         ,             38904
43367         ,             62770         ,             38752
43732         ,             62899         ,             38633
44007         ,             63007         ,             38547
44178         ,             63117         ,             38507
44242         ,             63186         ,             38501
44192         ,             63137         ,             38507
44024         ,             62875         ,             38501
43745         ,             62392         ,             38475
43363         ,             61676         ,             38423
42889         ,             60755         ,             38346
42335         ,             59669         ,             38251
41726         ,             58463         ,             38139
41068         ,             57169         ,             38016
40393         ,             55799         ,             37869
39706         ,             54402         ,             37713
39029         ,             52988         ,             37538
38381         ,             51559         ,             37335
37765         ,             50153         ,             37114
37191         ,             48737         ,             36857
36673         ,             47339         ,             36565
36213         ,             45962         ,             36236
35796         ,             44573         ,             35863
35418         ,             43193         ,             35454
35073         ,             41813         ,             35007
34763         ,             40434         ,             34519
34474         ,             39025         ,             33980
34201         ,             37627         ,             33412
33937         ,             36209         ,             32799
33674         ,             34793         ,             32155
33402         ,             33350         ,             31469
33113         ,             31943         ,             30779
32799         ,             30511         ,             30051
32471         ,             29088         ,             29298
32094         ,             27690         ,             28551
31675         ,             26356         ,             27834
31208         ,             25058         ,             27134
30689         ,             23817         ,             26470
30120         ,             22640         ,             25852
29507         ,             21527         ,             25279
28860         ,             20479         ,             24752
28197         ,             19474         ,             24241
27530         ,             18536         ,             23767
26878         ,             17661         ,             23316
26268         ,             16819         ,             22842
25709         ,             16025         ,             22355
25232         ,             15276         ,             21834
24845         ,             14558         ,             21258
24570         ,             13894         ,             20641
24406         ,             13265         ,             19967
24371         ,             12671         ,             19230
24459         ,             12175         ,             18524
24662         ,             11768         ,             17856
24973         ,             11477         ,             17278
25379         ,             11319         ,             16826
25853         ,             11305         ,             16533
26377         ,             11426         ,             16395
26922         ,             11665         ,             16399
27479         ,             12000         ,             16514
28018         ,             12390         ,             16699
28524         ,             12831         ,             16954
28976         ,             13296         ,             17254
29370         ,             13728         ,             17536
29689         ,             14142         ,             17829
29934         ,             14496         ,             18088
30101         ,             14820         ,             18349
30197         ,             15088         ,             18584
30225         ,             15313         ,             18808
30199         ,             15496         ,             19015
30126         ,             15663         ,             19229
30015         ,             15838         ,             19473
29880         ,             16020         ,             19738
29724         ,             16236         ,             20051
29565         ,             16477         ,             20392
29405         ,             16788         ,             20806
29245         ,             17152         ,             21274
29094         ,             17565         ,             21785
28953         ,             18030         ,             22338
28830         ,             18517         ,             22898
