Idata,Qdata,Šp“xdata
31462         ,             17761         ,             20612
29692         ,             16942         ,             20796
28039         ,             16525         ,             21359
26498         ,             16750         ,             22609
25059         ,             17616         ,             24575
23714         ,             18963         ,             27053
22462         ,             20669         ,             29834
21288         ,             22586         ,             32686
20188         ,             24636         ,             35467
19155         ,             26743         ,             38071
18184         ,             28863         ,             40452
17272         ,             30954         ,             42587
16416         ,             32972         ,             44473
15727         ,             34944         ,             46038
15459         ,             36845         ,             47067
15826         ,             38646         ,             47411
16821         ,             40346         ,             47157
18296         ,             41957         ,             46508
20098         ,             43466         ,             45629
22107         ,             44896         ,             44649
24235         ,             46228         ,             43634
26412         ,             47481         ,             42640
28591         ,             48659         ,             41694
30732         ,             49739         ,             40803
32818         ,             50294         ,             39812
34840         ,             49800         ,             38516
36786         ,             48379         ,             36926
38639         ,             46440         ,             35167
40394         ,             44241         ,             33322
42049         ,             41964         ,             31459
43609         ,             39696         ,             29617
45074         ,             37500         ,             27831
46452         ,             35396         ,             26115
47745         ,             33415         ,             24491
48945         ,             31569         ,             22975
49800         ,             29812         ,             21634
49812         ,             28172         ,             20644
48795         ,             26631         ,             20037
47053         ,             25203         ,             19722
44930         ,             23862         ,             19581
42647         ,             22600         ,             19544
40346         ,             21446         ,             19595
38094         ,             20347         ,             19675
35933         ,             19312         ,             19779
33883         ,             18354         ,             19911
31961         ,             17426         ,             20020
30160         ,             16572         ,             20151
28477         ,             15772         ,             20286
26902         ,             15139         ,             20558
25437         ,             14954         ,             21315
24069         ,             15401         ,             22830
22786         ,             16450         ,             25079
21590         ,             17949         ,             27817
20472         ,             19749         ,             30779
19421         ,             21752         ,             33768
18431         ,             23851         ,             36613
17502         ,             26008         ,             39243
16639         ,             28159         ,             41595
15807         ,             30280         ,             43704
15033         ,             32354         ,             45555
14308         ,             34331         ,             47163
13623         ,             36254         ,             48584
13009         ,             38081         ,             49797
12621         ,             39816         ,             50689
12691         ,             41454         ,             51085
13375         ,             42997         ,             50905
14610         ,             44449         ,             50263
16268         ,             45811         ,             49315
18206         ,             47094         ,             48205
20321         ,             48288         ,             47024
22528         ,             49414         ,             45844
24772         ,             50476         ,             44702
27011         ,             51460         ,             43614
29217         ,             52394         ,             42598
31365         ,             53249         ,             41651
33440         ,             54056         ,             40781
35441         ,             54803         ,             39977
37354         ,             55405         ,             39209
39170         ,             55445         ,             38332
40895         ,             54497         ,             37181
42519         ,             52663         ,             35758
44044         ,             50310         ,             34160
45480         ,             47756         ,             32479
46830         ,             45177         ,             30780
48098         ,             42665         ,             29102
49277         ,             40241         ,             27465
50387         ,             37938         ,             25884
51414         ,             35784         ,             24386
52375         ,             33758         ,             22962
53264         ,             31875         ,             21628
53977         ,             30103         ,             20404
54231         ,             28444         ,             19374
53824         ,             26885         ,             18579
52698         ,             25449         ,             18044
50945         ,             24096         ,             17719
48743         ,             22829         ,             17567
46319         ,             21653         ,             17538
43834         ,             20534         ,             17570
41388         ,             19498         ,             17658
39033         ,             18523         ,             17771
36798         ,             17621         ,             17911
34688         ,             16754         ,             18046
32718         ,             15985         ,             18227
30862         ,             15412         ,             18576
29137         ,             15157         ,             19238
27531         ,             15312         ,             20357
26035         ,             15936         ,             22030
24636         ,             17075         ,             24308
23330         ,             18597         ,             26992
22113         ,             20423         ,             29907
20985         ,             22415         ,             32821
19979         ,             24514         ,             35574
19177         ,             26632         ,             37970
18647         ,             28766         ,             39933
18455         ,             30867         ,             41388
18689         ,             32891         ,             42276
19425         ,             34863         ,             42612
20643         ,             36770         ,             42483
22243         ,             38573         ,             42021
24091         ,             40270         ,             41377
26091         ,             41882         ,             40655
28164         ,             43391         ,             39909
30254         ,             44792         ,             39175
32324         ,             45846         ,             38370
34340         ,             46305         ,             37407
36296         ,             45971         ,             36195
38167         ,             44850         ,             34722
39947         ,             43205         ,             33071
41631         ,             41287         ,             31334
43220         ,             39253         ,             29572
44719         ,             37203         ,             27831
46121         ,             35199         ,             26145
47436         ,             33272         ,             24532
48666         ,             31464         ,             23019
49730         ,             29720         ,             21605
50357         ,             28105         ,             20417
50331         ,             26586         ,             19491
49533         ,             25141         ,             18837
48019         ,             23806         ,             18459
46030         ,             22544         ,             18266
43803         ,             21387         ,             18217
41501         ,             20285         ,             18234
39221         ,             19251         ,             18300
37017         ,             18289         ,             18405
34912         ,             17409         ,             18552
32922         ,             16735         ,             18862
31062         ,             16432         ,             19515
29321         ,             16668         ,             20732
27694         ,             17489         ,             22591
26179         ,             18802         ,             24980
24764         ,             20473         ,             27707
23462         ,             22377         ,             30551
22347         ,             24411         ,             33269
21517         ,             26517         ,             35660
21072         ,             28637         ,             37557
21080         ,             30721         ,             38880
21610         ,             32758         ,             39611
22662         ,             34736         ,             39816
24131         ,             36628         ,             39636
25878         ,             38435         ,             39234
27794         ,             40152         ,             38716
29792         ,             41765         ,             38149
31814         ,             43273         ,             37574
33815         ,             44589         ,             36977
35775         ,             45507         ,             36279
37661         ,             45877         ,             35432
39467         ,             45593         ,             34384
41179         ,             44629         ,             33112
42798         ,             43109         ,             31645
44321         ,             41285         ,             30078
45756         ,             39311         ,             28467
47102         ,             37296         ,             26861
48363         ,             35309         ,             25293
49542         ,             33385         ,             23782
50646         ,             31575         ,             22359
51669         ,             29839         ,             21005
52621         ,             28208         ,             19736
53499         ,             26664         ,             18544
54299         ,             25237         ,             17450
54787         ,             23892         ,             16493
54699         ,             22629         ,             15732
53815         ,             21466         ,             15222
52138         ,             20362         ,             14933
49916         ,             19318         ,             14810
47427         ,             18354         ,             14809
44866         ,             17422         ,             14855
42343         ,             16558         ,             14950
39914         ,             15749         ,             15073
37605         ,             14982         ,             15206
35428         ,             14282         ,             15369
33387         ,             13593         ,             15507
31484         ,             12964         ,             15666
29708         ,             12348         ,             15799
28055         ,             11793         ,             15960
26515         ,             11342         ,             16211
25077         ,             11259         ,             16925
23733         ,             11744         ,             18430
22483         ,             12798         ,             20755
21309         ,             14321         ,             23733
20213         ,             16152         ,             27040
19181         ,             18196         ,             30443
18214         ,             20369         ,             33738
17307         ,             22579         ,             36771
16449         ,             24825         ,             39530
15645         ,             27045         ,             41966
14886         ,             29215         ,             44100
14173         ,             31337         ,             45965
13504         ,             33358         ,             47573
12948         ,             35322         ,             48908
12677         ,             37187         ,             49823
12875         ,             38955         ,             50198
13663         ,             40647         ,             49994
14977         ,             42229         ,             49331
16679         ,             43719         ,             48383
18645         ,             45109         ,             47280
20773         ,             46440         ,             46130
22986         ,             47663         ,             44978
25229         ,             48831         ,             43874
27461         ,             49918         ,             42829
29656         ,             50943         ,             41856
31790         ,             51894         ,             40956
33848         ,             52782         ,             40130
35833         ,             53615         ,             39371
37728         ,             54391         ,             38677
39526         ,             54951         ,             37991
41225         ,             54858         ,             37153
42832         ,             53817         ,             36039
44341         ,             51964         ,             34668
45759         ,             49642         ,             33132
47093         ,             47122         ,             31512
48341         ,             44589         ,             29882
49507         ,             42108         ,             28268
50600         ,             39728         ,             26696
51620         ,             37466         ,             25181
52569         ,             35333         ,             23734
53454         ,             33335         ,             22364
54279         ,             31489         ,             21084
55040         ,             29734         ,             19865
55758         ,             28111         ,             18729
56291         ,             26592         ,             17700
56270         ,             25152         ,             16859
55407         ,             23821         ,             16285
53669         ,             22570         ,             15966
51347         ,             21419         ,             15850
48755         ,             20327         ,             15843
46091         ,             19296         ,             15902
43472         ,             18344         ,             16015
40957         ,             17424         ,             16132
38577         ,             16569         ,             16271
36332         ,             15769         ,             16423
34229         ,             15008         ,             16573
32270         ,             14307         ,             16737
30441         ,             13615         ,             16868
28737         ,             12980         ,             17016
27149         ,             12425         ,             17214
25671         ,             12213         ,             17810
24296         ,             12524         ,             19089
23006         ,             13468         ,             21242
21802         ,             14881         ,             24021
20676         ,             16649         ,             27190
19619         ,             18646         ,             30480
18625         ,             20769         ,             33681
17693         ,             22975         ,             36680
16817         ,             25187         ,             39389
15989         ,             27393         ,             41810
15211         ,             29556         ,             43937
14474         ,             31663         ,             45804
13786         ,             33673         ,             47415
13158         ,             35614         ,             48806
12713         ,             37470         ,             49881
12605         ,             39227         ,             50530
12987         ,             40903         ,             50669
13933         ,             42473         ,             50287
15360         ,             43948         ,             49515
17147         ,             45326         ,             48495
19158         ,             46634         ,             47366
21311         ,             47860         ,             46198
23534         ,             49015         ,             45047
25777         ,             50100         ,             43942
28000         ,             51119         ,             42902
30180         ,             52054         ,             41927
32299         ,             52948         ,             41031
34338         ,             53760         ,             40203
36300         ,             54533         ,             39445
38169         ,             55263         ,             38758
39942         ,             55807         ,             38086
41619         ,             55966         ,             37355
43198         ,             55535         ,             36486
44685         ,             54483         ,             35450
46081         ,             52847         ,             34239
47392         ,             50756         ,             32874
48622         ,             48373         ,             31397
49770         ,             45893         ,             29875
50845         ,             43412         ,             28344
51846         ,             40999         ,             26835
52779         ,             38705         ,             25378
53650         ,             36521         ,             23971
54461         ,             34461         ,             22627
55222         ,             32552         ,             21363
55920         ,             30731         ,             20154
56566         ,             29043         ,             19024
57175         ,             27461         ,             17958
57733         ,             25983         ,             16961
58251         ,             24591         ,             16021
58716         ,             23304         ,             15153
59044         ,             22096         ,             14362
59136         ,             20967         ,             13666
58924         ,             19907         ,             13067
58392         ,             18905         ,             12558
57538         ,             17967         ,             12139
56404         ,             17091         ,             11800
55021         ,             16259         ,             11524
53426         ,             15455         ,             11294
51642         ,             14719         ,             11136
49706         ,             14030         ,             11034
47647         ,             13356         ,             10961
45495         ,             12735         ,             10947
43274         ,             12152         ,             10980
41039         ,             11580         ,             11030
38840         ,             11058         ,             11124
36715         ,             10555         ,             11227
34686         ,             10111         ,             11376
32765         ,             9729          ,             11577
30958         ,             9488          ,             11927
29263         ,             9451          ,             12529
27673         ,             9672          ,             13486
26188         ,             10171         ,             14858
24800         ,             10955         ,             16683
23501         ,             12035         ,             18982
22285         ,             13387         ,             21696
21150         ,             15011         ,             24755
20119         ,             16876         ,             27993
19215         ,             18900         ,             31169
18463         ,             21027         ,             34100
17896         ,             23221         ,             36665
17510         ,             25422         ,             38809
17332         ,             27612         ,             40519
17356         ,             29738         ,             41812
17591         ,             31821         ,             42746
18035         ,             33806         ,             43345
18665         ,             35740         ,             43697
19469         ,             37577         ,             43828
20418         ,             39318         ,             43790
21483         ,             40965         ,             43629
22635         ,             42498         ,             43372
23854         ,             43879         ,             43029
25109         ,             45075         ,             42616
26379         ,             46101         ,             42155
27635         ,             46957         ,             41666
28864         ,             47623         ,             41146
30052         ,             48152         ,             40622
31184         ,             48574         ,             40110
32256         ,             48888         ,             39608
33257         ,             49133         ,             39135
34197         ,             49302         ,             38678
35064         ,             49433         ,             38256
35861         ,             49548         ,             37873
36586         ,             49639         ,             37526
37238         ,             49714         ,             37216
37815         ,             49799         ,             36952
38318         ,             49902         ,             36736
38753         ,             50022         ,             36564
39124         ,             50170         ,             36436
39445         ,             50358         ,             36350
39731         ,             50584         ,             36297
39994         ,             50849         ,             36270
40252         ,             51159         ,             36263
40519         ,             51469         ,             36252
40810         ,             51834         ,             36250
41134         ,             52212         ,             36238
41502         ,             52598         ,             36208
41926         ,             52981         ,             36151
42403         ,             53346         ,             36064
42938         ,             53725         ,             35957
43526         ,             54079         ,             35820
44175         ,             54423         ,             35654
44876         ,             54761         ,             35466
45628         ,             55079         ,             35253
46432         ,             55374         ,             35014
47286         ,             55681         ,             34763
48194         ,             55973         ,             34490
49145         ,             56250         ,             34200
50109         ,             56486         ,             33897
51061         ,             56688         ,             33593
51984         ,             56831         ,             33285
52869         ,             56893         ,             32970
53710         ,             56846         ,             32637
54502         ,             56664         ,             32280
55251         ,             56318         ,             31884
55940         ,             55774         ,             31440
56590         ,             55033         ,             30941
57196         ,             54066         ,             30372
57755         ,             52900         ,             29741
58278         ,             51518         ,             29034
58761         ,             49963         ,             28262
59212         ,             48229         ,             27414
59624         ,             46357         ,             26505
60001         ,             44351         ,             25530
60357         ,             42247         ,             24493
60678         ,             40122         ,             23432
60987         ,             38012         ,             22354
61264         ,             35975         ,             21295
61516         ,             34033         ,             20267
61747         ,             32211         ,             19285
61969         ,             30464         ,             18325
62179         ,             28813         ,             17404
62370         ,             27269         ,             16531
62541         ,             25823         ,             15705
62703         ,             24471         ,             14923
62851         ,             23188         ,             14176
62992         ,             22003         ,             13478
63113         ,             20875         ,             12811
63231         ,             19827         ,             12187
63337         ,             18837         ,             11594
63426         ,             17913         ,             11040
63349         ,             17037         ,             10537
62963         ,             16210         ,             10106
62170         ,             15418         ,             9750
60921         ,             14681         ,             9484
59231         ,             14000         ,             9309
57115         ,             13329         ,             9195
54630         ,             12715         ,             9172
51895         ,             12133         ,             9212
49078         ,             11566         ,             9282
46298         ,             11029         ,             9379
43615         ,             10527         ,             9499
41074         ,             10058         ,             9632
38682         ,             9613          ,             9769
36442         ,             9189          ,             9907
34346         ,             8770          ,             10027
32400         ,             8383          ,             10154
30578         ,             8023          ,             10291
28881         ,             7671          ,             10412
27299         ,             7346          ,             10543
25827         ,             7097          ,             10756
24453         ,             7065          ,             11281
23161         ,             7391          ,             12389
21961         ,             8206          ,             14342
20832         ,             9523          ,             17197
19775         ,             11225         ,             20707
18780         ,             13189         ,             24556
17849         ,             15343         ,             28478
16968         ,             17595         ,             32227
16140         ,             19898         ,             35667
15359         ,             22212         ,             38736
14625         ,             24510         ,             41423
13933         ,             26745         ,             43738
13279         ,             28939         ,             45746
12662         ,             31061         ,             47475
12146         ,             33086         ,             48889
11826         ,             35052         ,             49949
11818         ,             36916         ,             50574
12231         ,             38706         ,             50725
13140         ,             40391         ,             50385
14518         ,             41975         ,             49645
16259         ,             43469         ,             48645
18249         ,             44881         ,             47511
20395         ,             46201         ,             46327
22615         ,             47438         ,             45158
24868         ,             48612         ,             44035
27108         ,             49704         ,             42975
29313         ,             50742         ,             41990
31456         ,             51703         ,             41079
33525         ,             52612         ,             40246
35520         ,             53444         ,             39474
37425         ,             54130         ,             38738
39235         ,             54387         ,             37935
40951         ,             54034         ,             36990
42569         ,             52996         ,             35859
44090         ,             51320         ,             34533
45523         ,             49187         ,             33051
46867         ,             46837         ,             31487
48127         ,             44398         ,             29884
49305         ,             41982         ,             28290
50408         ,             39654         ,             26734
51436         ,             37418         ,             25224
52399         ,             35313         ,             23784
53292         ,             33323         ,             22412
54129         ,             31486         ,             21130
54906         ,             29737         ,             19908
55626         ,             28119         ,             18772
56250         ,             26603         ,             17718
56634         ,             25163         ,             16769
56655         ,             23835         ,             15972
56265         ,             22585         ,             15310
55458         ,             21439         ,             14795
54286         ,             20344         ,             14381
52801         ,             19316         ,             14066
51076         ,             18369         ,             13846
49147         ,             17453         ,             13686
47069         ,             16605         ,             13602
44866         ,             15808         ,             13587
42600         ,             15052         ,             13622
40337         ,             14339         ,             13699
38131         ,             13675         ,             13811
36016         ,             13069         ,             13961
34004         ,             12560         ,             14191
32112         ,             12223         ,             14587
30334         ,             12033         ,             15146
28665         ,             12063         ,             15976
27103         ,             12308         ,             17097
25642         ,             12835         ,             18613
24281         ,             13621         ,             20504
23000         ,             14659         ,             22758
21804         ,             15961         ,             25343
20681         ,             17507         ,             28174
19631         ,             19277         ,             31135
18638         ,             21234         ,             34108
17708         ,             23291         ,             36928
16834         ,             25409         ,             39532
16008         ,             27546         ,             41886
15231         ,             29653         ,             43969
14495         ,             31724         ,             45811
13809         ,             33704         ,             47404
13147         ,             35624         ,             48820
12526         ,             37466         ,             50060
11940         ,             39212         ,             51145
11388         ,             40884         ,             52105
10863         ,             42447         ,             52952
10369         ,             43918         ,             53701
9906          ,             45303         ,             54366
9470          ,             46604         ,             54960
9039          ,             47833         ,             55509
8640          ,             48985         ,             55998
8257          ,             50070         ,             56445
7896          ,             51089         ,             56850
7554          ,             52025         ,             57217
7229          ,             52916         ,             57555
6918          ,             53745         ,             57866
6633          ,             54513         ,             58144
6353          ,             55249         ,             58408
6139          ,             55859         ,             58610
6028          ,             56332         ,             58724
6061          ,             56560         ,             58718
6273          ,             56467         ,             58563
6697          ,             56003         ,             58227
7337          ,             55168         ,             57697
8193          ,             53953         ,             56956
9247          ,             52399         ,             55994
10495         ,             50536         ,             54788
11923         ,             48400         ,             53313
13515         ,             46098         ,             51562
15242         ,             43740         ,             49552
17091         ,             41397         ,             47296
19029         ,             39121         ,             44843
21036         ,             36943         ,             42239
23086         ,             34881         ,             39551
25153         ,             32940         ,             36844
27212         ,             31141         ,             34196
29234         ,             29435         ,             31637
31201         ,             27834         ,             29215
33076         ,             26348         ,             26978
34852         ,             24940         ,             24911
36501         ,             23624         ,             23038
37988         ,             22410         ,             21376
39292         ,             21255         ,             19888
40394         ,             20184         ,             18585
41268         ,             19167         ,             17439
41908         ,             18218         ,             16447
42297         ,             17328         ,             15594
42440         ,             16465         ,             14843
42333         ,             15672         ,             14220
41983         ,             14918         ,             13693
41407         ,             14222         ,             13269
40638         ,             13543         ,             12902
39696         ,             12908         ,             12609
38621         ,             12302         ,             12368
37440         ,             11747         ,             12194
36178         ,             11208         ,             12049
34862         ,             10692         ,             11935
33521         ,             10222         ,             11871
32177         ,             9746          ,             11796
30834         ,             9307          ,             11757
29515         ,             8899          ,             11745
28230         ,             8485          ,             11710
26976         ,             8140          ,             11754
25765         ,             7771          ,             11749
24590         ,             7433          ,             11773
23450         ,             7111          ,             11809
22347         ,             6803          ,             11852
21275         ,             6511          ,             11911
20251         ,             6224          ,             11959
19268         ,             5982          ,             12073
18333         ,             5734          ,             12158
17441         ,             5495          ,             12241
16597         ,             5267          ,             12325
15797         ,             5065          ,             12444
15038         ,             4864          ,             12547
14322         ,             4712          ,             12748
13641         ,             4655          ,             13190
12997         ,             4741          ,             14029
12384         ,             4995          ,             15376
11807         ,             5437          ,             17308
11258         ,             6093          ,             19896
10751         ,             6924          ,             22948
10245         ,             7971          ,             26519
9783          ,             9210          ,             30290
9341          ,             10635         ,             34094
8921          ,             12273         ,             37791
8520          ,             14094         ,             41193
8145          ,             16102         ,             44218
7785          ,             18220         ,             46805
7442          ,             20423         ,             48985
7121          ,             22627         ,             50771
6822          ,             24847         ,             52253
6572          ,             27041         ,             53438
6400          ,             29183         ,             54341
6310          ,             31261         ,             55012
6343          ,             33259         ,             55442
6513          ,             35189         ,             55660
6828          ,             37032         ,             55687
7300          ,             38800         ,             55541
7936          ,             40455         ,             55231
8725          ,             42021         ,             54789
9686          ,             43510         ,             54215
10812         ,             44913         ,             53525
12108         ,             46222         ,             52725
13580         ,             47452         ,             51821
15233         ,             48620         ,             50823
17073         ,             49707         ,             49731
19073         ,             50738         ,             48579
21186         ,             51697         ,             47401
23357         ,             52603         ,             46240
25549         ,             53431         ,             45111
27724         ,             54234         ,             44047
29861         ,             54963         ,             43040
31942         ,             55632         ,             42096
33951         ,             56284         ,             41231
35888         ,             56870         ,             40422
37743         ,             57410         ,             39675
39508         ,             57925         ,             38993
41182         ,             58397         ,             38366
42767         ,             58857         ,             37798
44255         ,             59260         ,             37273
45654         ,             59631         ,             36793
46972         ,             59979         ,             36354
48205         ,             60313         ,             35957
49362         ,             60614         ,             35589
50445         ,             60898         ,             35254
51457         ,             61160         ,             34947
52408         ,             61405         ,             34664
53289         ,             61616         ,             34401
54115         ,             61823         ,             34163
54884         ,             61949         ,             33922
55598         ,             61798         ,             33616
56266         ,             61197         ,             33183
56884         ,             60067         ,             32591
57458         ,             58430         ,             31836
57993         ,             56344         ,             30922
58488         ,             53896         ,             29862
58953         ,             51209         ,             28685
59377         ,             48464         ,             27455
59772         ,             45781         ,             26215
60137         ,             43182         ,             24976
60477         ,             40729         ,             23771
60792         ,             38406         ,             22598
61082         ,             36227         ,             21470
61353         ,             34187         ,             20389
61600         ,             32298         ,             19368
61828         ,             30519         ,             18390
62039         ,             28846         ,             17456
62224         ,             27290         ,             16577
62425         ,             25835         ,             15738
62586         ,             24484         ,             14956
62739         ,             23199         ,             14205
62883         ,             22013         ,             13505
63009         ,             20890         ,             12840
63138         ,             19843         ,             12213
63250         ,             18859         ,             11622
63306         ,             17930         ,             11070
63173         ,             17062         ,             10580
62731         ,             16237         ,             10158
61942         ,             15446         ,             9801
60809         ,             14716         ,             9523
59353         ,             14028         ,             9308
57591         ,             13363         ,             9144
55587         ,             12749         ,             9042
53378         ,             12171         ,             8991
50996         ,             11602         ,             8972
48483         ,             11073         ,             9006
45924         ,             10566         ,             9070
43399         ,             10102         ,             9172
40963         ,             9649          ,             9278
38647         ,             9217          ,             9390
36456         ,             8806          ,             9506
34392         ,             8417          ,             9626
32469         ,             8050          ,             9747
30664         ,             7697          ,             9864
28971         ,             7367          ,             9987
27395         ,             7050          ,             10102
25924         ,             6738          ,             10199
24551         ,             6448          ,             10301
23261         ,             6165          ,             10391
22057         ,             5923          ,             10522
20929         ,             5666          ,             10604
19869         ,             5437          ,             10713
18873         ,             5212          ,             10807
17936         ,             5037          ,             10981
17054         ,             4935          ,             11297
16224         ,             4986          ,             11958
15439         ,             5231          ,             13102
14701         ,             5731          ,             14908
14005         ,             6482          ,             17385
13341         ,             7541          ,             20634
12715         ,             8890          ,             24472
12124         ,             10541         ,             28703
11564         ,             12452         ,             32982
11032         ,             14551         ,             36982
10527         ,             16773         ,             40521
10052         ,             19039         ,             43517
9600          ,             21342         ,             46047
9169          ,             23618         ,             48148
8761          ,             25872         ,             49905
8371          ,             28080         ,             51380
8000          ,             30212         ,             52618
